date,V36612,V36613,V1160788296,V1038114416,v1146067261,v1154426989,v1146067262,v1146067263,v1154426990,V36634,V44201362,v1154426991,V36635,V36610,V36625,V36628,V36636,v1146067264,V1203435186,V1210798115,V36632,V1490410223,V1490410224,V36624
03/12/1980,4571,10459,,,,,,,,0,,,1465,16495,10439,14,5271,,,,773,,,16495
10/12/1980,4734,10442,,,,,,,,68,,,1436,16680,10668,11,5365,,,,636,,,16680
17/12/1980,5165,10448,,,,,,,,0,,,1599,17213,10885,12,5232,,,,1084,,,17213
24/12/1980,5285,10535,,,,,,,,139,,,2875,18834,11063,30,5643,,,,2098,,,18834
31/12/1980,5252,10541,,,,,,,,16,,,1504,17313,11108,59,5466,,,,680,,,17313
07/01/1981,4338,10550,,,,,,,,0,,,1687,16575,10902,11,5020,,,,643,,,16575
14/01/1981,4444,10537,,,,,,,,139,,,1772,16892,10551,9,5840,,,,492,,,16892
21/01/1981,4741,10551,,,,,,,,0,,,1127,16419,10285,28,5355,,,,751,,,16419
28/01/1981,4786,10558,,,,,,,,75,,,885,16303,10138,10,5659,,,,497,,,16303
04/02/1981,4629,10704,,,,,,,,0,,,1030,16363,10158,11,5468,,,,726,,,16363
11/02/1981,4533,10694,,,,,,,,0,,,1006,16233,10215,11,5418,,,,588,,,16233
18/02/1981,4669,10687,,,,,,,,0,,,1238,16595,10152,139,5313,,,,990,,,16595
25/02/1981,4613,10712,,,,,,,,0,,,999,16324,10109,10,5373,,,,831,,,16324
04/03/1981,4319,10906,,,,,,,,0,,,1701,16926,10176,12,5378,,,,1360,,,16926
11/03/1981,4126,10913,,,,,,,,0,,,1703,16741,10224,12,5534,,,,971,,,16741
18/03/1981,3855,10919,,,,,,,,0,,,1904,16678,10139,10,5337,,,,1192,,,16678
25/03/1981,3832,10917,,,,,,,,143,,,1984,16877,10151,10,5537,,,,1179,,,16877
01/04/1981,3992,11103,,,,,,,,0,,,1732,16826,10187,24,5042,,,,1572,,,16826
08/04/1981,4291,11111,,,,,,,,0,,,1246,16649,10268,11,5318,,,,1051,,,16649
15/04/1981,4361,11097,,,,,,,,26,,,1135,16619,10269,12,5397,,,,941,,,16619
22/04/1981,4471,11099,,,,,,,,0,,,1133,16702,10339,14,5306,,,,1043,,,16702
29/04/1981,4308,11079,,,,,,,,2,,,1479,16868,10337,9,5354,,,,1169,,,16868
06/05/1981,4634,11245,,,,,,,,139,,,1022,17040,10454,63,5583,,,,941,,,17040
13/05/1981,4776,11248,,,,,,,,1,,,1179,17205,10616,14,5671,,,,903,,,17205
20/05/1981,4747,11243,,,,,,,,2,,,1677,17670,10631,12,5507,,,,1519,,,17670
27/05/1981,4782,11248,,,,,,,,0,,,1052,17082,10616,13,5473,,,,982,,,17082
03/06/1981,4501,11265,,,,,,,,2,,,1022,16790,10646,11,5211,,,,921,,,16790
10/06/1981,4639,11259,,,,,,,,0,,,1195,17093,10727,13,5314,,,,1039,,,17093
17/06/1981,5152,11274,,,,,,,,0,,,1342,17768,10699,481,5266,,,,1322,,,17768
24/06/1981,5277,11276,,,,,,,,0,,,869,17421,10737,489,5388,,,,807,,,17421
01/07/1981,5084,11257,,,,,,,,56,,,1227,17624,10835,181,5429,,,,1179,,,17624
08/07/1981,5302,11413,,,,,,,,0,,,888,17603,11077,258,5310,,,,958,,,17603
15/07/1981,5288,11408,,,,,,,,0,,,987,17683,10984,117,5299,,,,1284,,,17683
