date,V37331,V37323_G6,V37332,V37333,V37334,V37335,V37342,V42141675,V42141674,V37319,V37346,V37295_G6,V37298,V37301,V37294,V37312,V42141668
01/01/1946,1796,,,,,,16574,,,,,696,,,25,,
01/02/1946,1796,,,,,,16530,,,,,698,,,25,,
01/03/1946,1796,,,,,,16531,,,,,699,,,23,,
01/04/1946,1796,,,,,,16529,,,,,774,,,22,,
01/05/1946,1796,,,,,,16385,,,,,770,,,23,,
01/06/1946,1796,,,,,,16324,,,,,765,,,22,,
01/07/1946,1826,,,,,,16296,,,,,765,,,20,,
01/08/1946,1826,,,,,,16296,,,,,765,,,16,,
01/09/1946,1841,,,,,,16311,,,,,764,,,15,,
01/10/1946,1856,,,,,,16326,,,,,910,,,14,,
01/11/1946,1856,,,,,,16272,,,,,1233,,,32,,
01/12/1946,1546,,,,,,15982,,,,,1237,,,32,,
01/01/1947,1546,,,,,,16002,,,,,1247,,,26,,
01/02/1947,1336,,,,,,15792,,,,,1245,,,26,,
01/03/1947,1280,,,,,,15731,,,,,1265,,,17,,
01/04/1947,1280,,,,,,15731,,,,,1260,,,17,,
01/05/1947,1480,,,,,,15558,,,,,1253,,,18,,
01/06/1947,1480,,,,,,15557,,,,,1245,,,16,,
01/07/1947,1480,,,,,,15559,,,,,1238,,,15,,
01/08/1947,1480,,,,,,15557,,,,,1235,,,14,,
01/09/1947,1320,,,,,,15397,,,,,1225,,,13,,
01/10/1947,1200,,,,,,15222,,,,,1270,,,19,,
01/11/1947,1200,,,,,,15184,,,,,1448,,,23,,
01/12/1947,1200,,,,,,15183,,,,,1440,,,22,,
01/01/1948,1200,,,,,,15244,,,,,1429,,,21,,
01/02/1948,1200,,,,,,15089,,,,,1417,,,28,,
01/03/1948,1300,,,,,,15056,,,,,1322,,,34,,
01/04/1948,1300,,,,,,15085,,,,,1309,,,31,,
01/05/1948,1300,,,,,,15115,,,,,1293,,,30,,
01/06/1948,1300,,,,,,15145,,,,,1277,,,30,,
01/07/1948,1300,,,,,,15144,,,,,1265,,,30,,
01/08/1948,1120,,,,,,15155,,,,,1252,,,28,,
01/09/1948,1300,,,,,,15155,,,,,1238,,,26,,
01/10/1948,1300,,,,,,15155,,,,,1262,,,25,,
01/11/1948,1300,,,,,,14974,,,,,1425,,,50,,
01/12/1948,1300,,,,,,14973,,,,,1410,,,35,,
01/01/1949,1300,,,,,,15008,,,,,1399,,,31,,
01/02/1949,1300,,,,,,14958,,,,,1387,,,35,,
01/03/1949,1300,,,,,,14958,,,,,1220,,,33,,
01/04/1949,1300,,,,,,14958,,,,,1091,,,32,,
01/05/1949,1300,,,,,,14957,,,,,1067,,,29,,
01/06/1949,1300,,,,,,15020,,,,,1048,,,27,,
01/07/1949,1300,,,,,,15020,,,,,1031,,,26,,
01/08/1949,1300,,,,,,15020,,,,,1019,,,24,,
01/09/1949,1200,,,,,,15150,,,,,1004,,,23,,
01/10/1949,1200,,,,,,14761,,,,,1029,,,50,,
01/11/1949,1200,,,,,,14481,,,,,1240,,,60,,
01/12/1949,1200,,,,,,14480,,,,,1227,,,53,,
01/01/1950,1200,,,,,,14520,,,,,1214,,,48,,
01/02/1950,1200,,,,,,14451,,,,,1202,,,51,,
01/03/1950,1300,,,,,,14551,,,,,1188,,,48,,
01/04/1950,1300,,,,,,14551,,,,,1125,,,38,,
01/05/1950,1300,,,,,,14548,,,,,1098,,,31,,
01/06/1950,1300,,,,,,14561,,,,,1077,,,87,,
