time,gross_ext_debt,
1999-Q2,404272,
1999-Q3,.,No value available
1999-Q4,401051,
2000-Q1,.,No value available
2000-Q2,415289,
2000-Q3,.,No value available
2000-Q4,433240,
2001-Q1,.,No value available
2001-Q2,423176,
2001-Q3,.,No value available
2001-Q4,447063,
2002-Q1,.,No value available
2002-Q2,478324,
2002-Q3,.,No value available
2002-Q4,520299,
2003-Q1,.,No value available
2003-Q2,558487,
2003-Q3,.,No value available
2003-Q4,534598,
2004-Q1,565082,
2004-Q2,550091,
2004-Q3,583577,
2004-Q4,603761,
2005-Q1,627928,
2005-Q2,678441,
2005-Q3,688095,
2005-Q4,693985,
2006-Q1,686809,
2006-Q2,668657,
2006-Q3,701000,
2006-Q4,706521,
2007-Q1,696459,
2007-Q2,701254,
2007-Q3,713959,
2007-Q4,737292,
2008-Q1,764218,
2008-Q2,762538,
2008-Q3,809283,
2008-Q4,857856,
2009-Q1,896659,
2009-Q2,929409,
2009-Q3,944965,
2009-Q4,924332,
2010-Q1,953769,
2010-Q2,999906,
2010-Q3,1047141,
2010-Q4,1100610,
2011-Q1,1087273,
2011-Q2,1144616,
2011-Q3,1247416,
2011-Q4,1285581,
2012-Q1,1300780,
2012-Q2,1346766,
2012-Q3,1340829,
2012-Q4,1369104,
2013-Q1,1367463,
2013-Q2,1332675,
2013-Q3,1312235,
2013-Q4,1292543,
2014-Q1,1337589,
2014-Q2,1373092,
2014-Q3,1384596,
2014-Q4,1423809,
2015-Q1,1473009,
2015-Q2,1342153,
2015-Q3,1332380,
2015-Q4,1325123,
2016-Q1,1347734,
2016-Q2,1354646,
2016-Q3,1327774,
2016-Q4,1254842,
2017-Q1,1216897,
2017-Q2,1181455,
2017-Q3,1155221,
2017-Q4,1114869,
2018-Q1,1108587,
2018-Q2,1088470,
2018-Q3,1076315,
2018-Q4,1078107,
2019-Q1,1141308,
2019-Q2,1147571,
2019-Q3,1176962,
2019-Q4,1114177,
2020-Q1,1175188,
2020-Q2,1236051,
2020-Q3,1279596,
2020-Q4,1221346,
2021-Q1,1209539,
2021-Q2,1199503,
2021-Q3,1178563,
2021-Q4,1147104,
2022-Q1,1104707,
2022-Q2,1047981,
2022-Q3,1016926,
2022-Q4,980449,
2023-Q1,1033067,
2023-Q2,1066930,
2023-Q3,1100471,
2023-Q4,1145174,
2024-Q1,1159120,
2024-Q2,1164995,
2024-Q3,1220033,
2024-Q4,1237728,
2025-Q1,1242966,
2025-Q2,1277566,
