"Title","BoE: Asset Purchase Facility: Total gilt purchases: £m CPNSA"
"CDID","FZIU"
"Source dataset ID","PUSF"
"PreUnit","£"
"Unit","m"
"Release date","21-10-2025"
"Next release","21 November 2025"
"Important notes",
"1997","0"
"1998","0"
"1999","0"
"2000","0"
"2001","0"
"2002","0"
"2003","0"
"2004","0"
"2005","0"
"2006","0"
"2007","0"
"2008","0"
"2009","190053"
"2010","199398"
"2011","249920"
"2012","374974"
"2013","374991"
"2014","374911"
"2015","374900"
"2016","422905"
"2017","434956"
"2018","434987"
"2019","434990"
"2020","724938"
"2021","874947"
"2022","832999"
"2023","743857"
"2024","654531"
"1997 Q2","0"
"1997 Q3","0"
"1997 Q4","0"
"1998 Q1","0"
"1998 Q2","0"
"1998 Q3","0"
"1998 Q4","0"
"1999 Q1","0"
"1999 Q2","0"
"1999 Q3","0"
"1999 Q4","0"
"2000 Q1","0"
"2000 Q2","0"
"2000 Q3","0"
"2000 Q4","0"
"2001 Q1","0"
"2001 Q2","0"
"2001 Q3","0"
"2001 Q4","0"
"2002 Q1","0"
"2002 Q2","0"
"2002 Q3","0"
"2002 Q4","0"
"2003 Q1","0"
"2003 Q2","0"
"2003 Q3","0"
"2003 Q4","0"
"2004 Q1","0"
"2004 Q2","0"
"2004 Q3","0"
"2004 Q4","0"
"2005 Q1","0"
"2005 Q2","0"
"2005 Q3","0"
"2005 Q4","0"
"2006 Q1","0"
"2006 Q2","0"
"2006 Q3","0"
"2006 Q4","0"
"2007 Q1","0"
"2007 Q2","0"
"2007 Q3","0"
"2007 Q4","0"
"2008 Q1","0"
"2008 Q2","0"
"2008 Q3","0"
"2008 Q4","0"
"2009 Q1","0"
"2009 Q2","99094"
"2009 Q3","153770"
"2009 Q4","190053"
"2010 Q1","199667"
"2010 Q2","199527"
"2010 Q3","199500"
"2010 Q4","199398"
"2011 Q1","199285"
"2011 Q2","199144"
"2011 Q3","199076"
"2011 Q4","249920"
"2012 Q1","303534"
"2012 Q2","324934"
"2012 Q3","359825"
"2012 Q4","374974"
"2013 Q1","374990"
"2013 Q2","374985"
"2013 Q3","374984"
"2013 Q4","374991"
"2014 Q1","374939"
"2014 Q2","374939"
"2014 Q3","365311"
"2014 Q4","374911"
"2015 Q1","374932"
"2015 Q2","374932"
"2015 Q3","370667"
"2015 Q4","374900"
"2016 Q1","374907"
"2016 Q2","374907"
"2016 Q3","388475"
"2016 Q4","422905"
"2017 Q1","434961"
"2017 Q2","434961"
"2017 Q3","430698"
"2017 Q4","434956"
"2018 Q1","427658"
"2018 Q2","434977"
"2018 Q3","434988"
"2018 Q4","434987"
"2019 Q1","425817"
"2019 Q2","434985"
"2019 Q3","433722"
"2019 Q4","434990"
"2020 Q1","448498"
"2020 Q2","616347"
"2020 Q3","674858"
"2020 Q4","724938"
"2021 Q1","774144"
"2021 Q2","807800"
"2021 Q3","835951"
"2021 Q4","874947"
"2022 Q1","847006"
"2022 Q2","847006"
"2022 Q3","841512"
"2022 Q4","832999"
"2023 Q1","817151"
"2023 Q2","803255"
"2023 Q3","757272"
"2023 Q4","743857"
"2024 Q1","728047"
"2024 Q2","695024"
"2024 Q3","659015"
"2024 Q4","654531"
"2025 Q1","622521"
"2025 Q2","590018"
"2025 Q3","558069"
"1997 APR","0"
"1997 MAY","0"
"1997 JUN","0"
"1997 JUL","0"
"1997 AUG","0"
"1997 SEP","0"
"1997 OCT","0"
"1997 NOV","0"
"1997 DEC","0"
"1998 JAN","0"
"1998 FEB","0"
"1998 MAR","0"
"1998 APR","0"
"1998 MAY","0"
"1998 JUN","0"
"1998 JUL","0"
"1998 AUG","0"
"1998 SEP","0"
"1998 OCT","0"
"1998 NOV","0"
"1998 DEC","0"
"1999 JAN","0"
"1999 FEB","0"
"1999 MAR","0"
"1999 APR","0"
"1999 MAY","0"
"1999 JUN","0"
"1999 JUL","0"
"1999 AUG","0"
"1999 SEP","0"
"1999 OCT","0"
"1999 NOV","0"
"1999 DEC","0"
"2000 JAN","0"
"2000 FEB","0"
"2000 MAR","0"
"2000 APR","0"
"2000 MAY","0"
"2000 JUN","0"
"2000 JUL","0"
"2000 AUG","0"
"2000 SEP","0"
"2000 OCT","0"
"2000 NOV","0"
"2000 DEC","0"
"2001 JAN","0"
"2001 FEB","0"
"2001 MAR","0"
"2001 APR","0"
"2001 MAY","0"
"2001 JUN","0"
"2001 JUL","0"
"2001 AUG","0"
"2001 SEP","0"
"2001 OCT","0"
"2001 NOV","0"
"2001 DEC","0"
"2002 JAN","0"
"2002 FEB","0"
"2002 MAR","0"
"2002 APR","0"
"2002 MAY","0"
"2002 JUN","0"
