"Date","Weekly amounts outstanding of Central Bank sterling notes in circulation total (in sterling millions) not seasonally adjusted              [a]             RPWB55A"
"15 Oct 25","94727"
"08 Oct 25","94656"
"01 Oct 25","94443"
"24 Sep 25","94216"
"17 Sep 25","94157"
"10 Sep 25","94070"
"03 Sep 25","94044"
"27 Aug 25","94114"
"20 Aug 25","93925"
"13 Aug 25","93807"
"06 Aug 25","93768"
"30 Jul 25","93603"
"23 Jul 25","93444"
"16 Jul 25","93279"
"09 Jul 25","93134"
"02 Jul 25","93111"
"25 Jun 25","92784"
"18 Jun 25","92616"
"11 Jun 25","92557"
"04 Jun 25","92552"
"28 May 25","92612"
"21 May 25","92341"
"14 May 25","92317"
"07 May 25","92318"
"30 Apr 25","92018"
"23 Apr 25","91964"
"16 Apr 25","91906"
"09 Apr 25","91579"
"02 Apr 25","91256"
"26 Mar 25","91067"
"19 Mar 25","90859"
"12 Mar 25","90704"
"05 Mar 25","90544"
"26 Feb 25","90350"
"19 Feb 25","90297"
"12 Feb 25","90214"
"05 Feb 25","90278"
"29 Jan 25","90244"
"22 Jan 25","90159"
"15 Jan 25","90368"
"08 Jan 25","90978"
"01 Jan 25","91932"
"25 Dec 24","92164"
"18 Dec 24","91321"
"11 Dec 24","90767"
"04 Dec 24","90384"
"27 Nov 24","90028"
"20 Nov 24","89791"
"13 Nov 24","89755"
"06 Nov 24","89623"
"30 Oct 24","89448"
"23 Oct 24","89261"
"16 Oct 24","89197"
"09 Oct 24","89103"
"02 Oct 24","89109"
"25 Sep 24","88976"
"18 Sep 24","88938"
"11 Sep 24","88929"
"04 Sep 24","88985"
"28 Aug 24","89266"
"21 Aug 24","89085"
"14 Aug 24","89006"
"07 Aug 24","88959"
"31 Jul 24","88994"
"24 Jul 24","88919"
"17 Jul 24","88770"
"10 Jul 24","88785"
"03 Jul 24","88693"
"26 Jun 24","88608"
"19 Jun 24","88404"
"12 Jun 24","88376"
"05 Jun 24","88366"
"29 May 24","88370"
"22 May 24","88153"
"15 May 24","88007"
"08 May 24","88078"
"01 May 24","87837"
"24 Apr 24","87620"
"17 Apr 24","87615"
"10 Apr 24","87717"
"03 Apr 24","88017"
"27 Mar 24","87677"
"20 Mar 24","87329"
"13 Mar 24","87292"
"06 Mar 24","87223"
"28 Feb 24","87004"
"21 Feb 24","86914"
"14 Feb 24","86826"
"07 Feb 24","86860"
"31 Jan 24","86814"
"24 Jan 24","86954"
"17 Jan 24","87082"
"10 Jan 24","87507"
"03 Jan 24","88468"
"27 Dec 23","89254"
"20 Dec 23","88512"
"13 Dec 23","87887"
"06 Dec 23","87556"
"29 Nov 23","87333"
"22 Nov 23","87127"
"15 Nov 23","86965"
"08 Nov 23","86901"
"01 Nov 23","86787"
"25 Oct 23","86641"
"18 Oct 23","86670"
"11 Oct 23","86597"
"04 Oct 23","86629"
"27 Sep 23","86613"
"20 Sep 23","86540"
"13 Sep 23","86608"
"06 Sep 23","86685"
"30 Aug 23","86864"
"23 Aug 23","86671"
"16 Aug 23","86687"
"09 Aug 23","86799"
"02 Aug 23","86824"
"26 Jul 23","86889"
"19 Jul 23","86845"
"12 Jul 23","86984"
"05 Jul 23","87006"
"28 Jun 23","86732"
"21 Jun 23","86699"
"14 Jun 23","86903"
"07 Jun 23","86907"
"31 May 23","86903"
"24 May 23","86697"
"17 May 23","86696"
"10 May 23","86846"
"03 May 23","86688"
"26 Apr 23","86239"
"19 Apr 23","86204"
"12 Apr 23","86704"
"05 Apr 23","86345"
"29 Mar 23","86006"
"22 Mar 23","85952"
"15 Mar 23","85930"
"08 Mar 23","85964"
"01 Mar 23","85886"
"22 Feb 23","85878"
"15 Feb 23","85832"
"08 Feb 23","85910"
"01 Feb 23","85901"
"25 Jan 23","86032"
"18 Jan 23","86285"
"11 Jan 23","86716"
"04 Jan 23","87859"
"28 Dec 22","88580"
"21 Dec 22","88051"
"14 Dec 22","87578"
"07 Dec 22","87247"
"30 Nov 22","86889"
"23 Nov 22","86626"
"16 Nov 22","86356"
"09 Nov 22","86306"
"02 Nov 22","86400"
"26 Oct 22","86284"
"19 Oct 22","86320"
"12 Oct 22","86460"
"05 Oct 22","86761"
"28 Sep 22","87040"
"21 Sep 22","87329"
"14 Sep 22","87053"
"07 Sep 22","87337"
