"Title","Public Sector: Liability: Short-Term Debt Securities; Issued by UK Central Government: (AF.31N1 ): £m: CP: NSA"
"CDID","J8MN"
"Source dataset ID","PUSF"
"PreUnit",""
"Unit",""
"Release date","21-12-2023"
"Next release","23 January 2024"
"Important notes",
"1997","4287"
"1998","4383"
"1999","3483"
"2000","2096"
"2001","10658"
"2002","21054"
"2003","23681"
"2004","28675"
"2005","24083"
"2006","20747"
"2007","17631"
"2008","30789"
"2009","56726"
"2010","53858"
"2011","68716"
"2012","49252"
"2013","34767"
"2014","59982"
"2015","79356"
"2016","93352"
"2017","78428"
"2018","69917"
"2019","105909"
"2020","54686"
"2021","45996"
"2022","59513"
"1997 Q2","5807"
"1997 Q3","5940"
"1997 Q4","4287"
"1998 Q1","4039"
"1998 Q2","4249"
"1998 Q3","4381"
"1998 Q4","4383"
"1999 Q1","6540"
"1999 Q2","7957"
"1999 Q3","6042"
"1999 Q4","3483"
"2000 Q1","3862"
"2000 Q2","3186"
"2000 Q3","1594"
"2000 Q4","2096"
"2001 Q1","3204"
"2001 Q2","3171"
"2001 Q3","2233"
"2001 Q4","10658"
"2002 Q1","8998"
"2002 Q2","15931"
"2002 Q3","17740"
"2002 Q4","21054"
"2003 Q1","14596"
"2003 Q2","20609"
"2003 Q3","14959"
"2003 Q4","23681"
"2004 Q1","19027"
"2004 Q2","26888"
"2004 Q3","17875"
"2004 Q4","28675"
"2005 Q1","24031"
"2005 Q2","27338"
"2005 Q3","20154"
"2005 Q4","24083"
"2006 Q1","21695"
"2006 Q2","22370"
"2006 Q3","20712"
"2006 Q4","20747"
"2007 Q1","16575"
"2007 Q2","17452"
"2007 Q3","16423"
"2007 Q4","17631"
"2008 Q1","16647"
"2008 Q2","18907"
"2008 Q3","26566"
"2008 Q4","30789"
"2009 Q1","43168"
"2009 Q2","53056"
"2009 Q3","51466"
"2009 Q4","56726"
"2010 Q1","61996"
"2010 Q2","62631"
"2010 Q3","63404"
"2010 Q4","53858"
"2011 Q1","61515"
"2011 Q2","65155"
"2011 Q3","64349"
"2011 Q4","68716"
"2012 Q1","68054"
"2012 Q2","69407"
"2012 Q3","59458"
"2012 Q4","49252"
"2013 Q1","54629"
"2013 Q2","47099"
"2013 Q3","42064"
"2013 Q4","34767"
"2014 Q1","54302"
"2014 Q2","45716"
"2014 Q3","57383"
"2014 Q4","59982"
"2015 Q1","62544"
"2015 Q2","67523"
"2015 Q3","70028"
"2015 Q4","79356"
"2016 Q1","75312"
"2016 Q2","78785"
"2016 Q3","101900"
"2016 Q4","93352"
"2017 Q1","65605"
"2017 Q2","49226"
"2017 Q3","59398"
"2017 Q4","78428"
"2018 Q1","63295"
"2018 Q2","62393"
"2018 Q3","75094"
"2018 Q4","69917"
"2019 Q1","73710"
"2019 Q2","68184"
"2019 Q3","100770"
"2019 Q4","105909"
"2020 Q1","81555"
"2020 Q2","98151"
"2020 Q3","77083"
"2020 Q4","54686"
"2021 Q1","51773"
"2021 Q2","61324"
"2021 Q3","57400"
"2021 Q4","45996"
"2022 Q1","34907"
"2022 Q2","38144"
"2022 Q3","49193"
"2022 Q4","59513"
"2023 Q1","58161"
"2023 Q2","65174"
