"Title","Public Sector: Liability: Short-Term Debt Securities; Issued by UK Local Government: (AF.31N2 ): £m: CP: NSA"
"CDID","J8MP"
"Source dataset ID","PUSF"
"PreUnit",""
"Unit",""
"Release date","21-10-2025"
"Next release","21 November 2025"
"Important notes",
"1997","6"
"1998","0"
"1999","0"
"2000","0"
"2001","0"
"2002","0"
"2003","0"
"2004","0"
"2005","0"
"2006","0"
"2007","0"
"2008","0"
"2009","0"
"2010","0"
"2011","0"
"2012","0"
"2013","0"
"2014","0"
"2015","0"
"2016","0"
"2017","0"
"2018","0"
"2019","0"
"2020","0"
"2021","0"
"2022","0"
"2023","0"
"2024","0"
"1997 Q2","9"
"1997 Q3","0"
"1997 Q4","6"
"1998 Q1","2"
"1998 Q2","1"
"1998 Q3","2"
"1998 Q4","0"
"1999 Q1","0"
"1999 Q2","0"
"1999 Q3","0"
"1999 Q4","0"
"2000 Q1","0"
"2000 Q2","0"
"2000 Q3","0"
"2000 Q4","0"
"2001 Q1","0"
"2001 Q2","0"
"2001 Q3","0"
"2001 Q4","0"
"2002 Q1","0"
"2002 Q2","0"
"2002 Q3","0"
"2002 Q4","0"
"2003 Q1","0"
"2003 Q2","0"
"2003 Q3","0"
"2003 Q4","0"
"2004 Q1","0"
"2004 Q2","0"
"2004 Q3","0"
"2004 Q4","0"
"2005 Q1","0"
"2005 Q2","0"
"2005 Q3","0"
"2005 Q4","0"
"2006 Q1","0"
"2006 Q2","0"
"2006 Q3","0"
"2006 Q4","0"
"2007 Q1","0"
"2007 Q2","0"
"2007 Q3","0"
"2007 Q4","0"
"2008 Q1","0"
"2008 Q2","0"
"2008 Q3","0"
"2008 Q4","0"
"2009 Q1","0"
"2009 Q2","0"
"2009 Q3","0"
"2009 Q4","0"
"2010 Q1","0"
"2010 Q2","0"
"2010 Q3","0"
"2010 Q4","0"
"2011 Q1","0"
"2011 Q2","0"
"2011 Q3","0"
"2011 Q4","0"
"2012 Q1","0"
"2012 Q2","0"
"2012 Q3","0"
"2012 Q4","0"
"2013 Q1","0"
"2013 Q2","0"
"2013 Q3","0"
"2013 Q4","0"
"2014 Q1","0"
"2014 Q2","0"
"2014 Q3","0"
"2014 Q4","0"
"2015 Q1","0"
"2015 Q2","0"
"2015 Q3","0"
"2015 Q4","0"
"2016 Q1","0"
"2016 Q2","0"
"2016 Q3","0"
"2016 Q4","0"
"2017 Q1","0"
"2017 Q2","0"
"2017 Q3","0"
"2017 Q4","0"
"2018 Q1","0"
"2018 Q2","0"
"2018 Q3","0"
"2018 Q4","0"
"2019 Q1","0"
"2019 Q2","0"
"2019 Q3","0"
"2019 Q4","0"
"2020 Q1","0"
"2020 Q2","0"
"2020 Q3","0"
"2020 Q4","0"
"2021 Q1","0"
"2021 Q2","0"
"2021 Q3","0"
"2021 Q4","0"
"2022 Q1","0"
"2022 Q2","0"
"2022 Q3","0"
"2022 Q4","0"
"2023 Q1","0"
"2023 Q2","0"
"2023 Q3","0"
"2023 Q4","0"
"2024 Q1","0"
"2024 Q2","0"
"2024 Q3","0"
"2024 Q4","0"
"2025 Q1","0"
"2025 Q2","0"
