"Title","Public Sector: Liability: Short-Term Loans: (AF.41): £m: CP: NSA"
"CDID","J8N7"
"Source dataset ID","PUSF"
"PreUnit",""
"Unit",""
"Release date","21-10-2025"
"Next release","21 November 2025"
"Important notes",
"1997","14215"
"1998","15366"
"1999","25457"
"2000","26782"
"2001","20232"
"2002","23540"
"2003","23833"
"2004","30142"
"2005","32433"
"2006","29460"
"2007","29168"
"2008","38517"
"2009","9584"
"2010","7919"
"2011","9837"
"2012","8355"
"2013","8384"
"2014","8057"
"2015","12457"
"2016","11433"
"2017","16563"
"2018","27327"
"2019","24196"
"2020","32203"
"2021","18501"
"2022","14532"
"2023","15195"
"2024","11992"
"1997 Q2","17168"
"1997 Q3","18285"
"1997 Q4","14215"
"1998 Q1","14566"
"1998 Q2","20374"
"1998 Q3","16662"
"1998 Q4","15366"
"1999 Q1","16908"
"1999 Q2","16045"
"1999 Q3","17904"
"1999 Q4","25457"
"2000 Q1","19390"
"2000 Q2","21526"
"2000 Q3","17642"
"2000 Q4","26782"
"2001 Q1","17957"
"2001 Q2","18023"
"2001 Q3","17351"
"2001 Q4","20232"
"2002 Q1","18254"
"2002 Q2","21161"
"2002 Q3","20859"
"2002 Q4","23540"
"2003 Q1","21707"
"2003 Q2","19855"
"2003 Q3","21189"
"2003 Q4","23833"
"2004 Q1","23730"
"2004 Q2","23070"
"2004 Q3","26080"
"2004 Q4","30142"
"2005 Q1","21517"
"2005 Q2","26512"
"2005 Q3","26905"
"2005 Q4","32433"
"2006 Q1","23203"
"2006 Q2","25821"
"2006 Q3","28287"
"2006 Q4","29460"
"2007 Q1","27677"
"2007 Q2","24965"
"2007 Q3","22602"
"2007 Q4","29168"
"2008 Q1","21017"
"2008 Q2","13008"
"2008 Q3","32802"
"2008 Q4","38517"
"2009 Q1","17119"
"2009 Q2","13591"
"2009 Q3","9091"
"2009 Q4","9584"
"2010 Q1","7976"
"2010 Q2","10008"
"2010 Q3","8759"
"2010 Q4","7919"
"2011 Q1","7981"
"2011 Q2","8849"
"2011 Q3","8620"
"2011 Q4","9837"
"2012 Q1","7671"
"2012 Q2","7951"
"2012 Q3","8034"
"2012 Q4","8355"
"2013 Q1","8207"
"2013 Q2","10199"
"2013 Q3","9989"
"2013 Q4","8384"
"2014 Q1","7099"
"2014 Q2","7343"
"2014 Q3","7286"
"2014 Q4","8057"
"2015 Q1","10246"
"2015 Q2","9285"
"2015 Q3","12605"
"2015 Q4","12457"
"2016 Q1","12268"
"2016 Q2","14817"
"2016 Q3","15102"
"2016 Q4","11433"
"2017 Q1","15277"
"2017 Q2","15252"
"2017 Q3","15543"
"2017 Q4","16563"
"2018 Q1","18328"
"2018 Q2","18783"
"2018 Q3","18007"
"2018 Q4","27327"
"2019 Q1","21295"
"2019 Q2","16393"
"2019 Q3","12835"
"2019 Q4","24196"
"2020 Q1","18559"
"2020 Q2","37078"
"2020 Q3","31285"
"2020 Q4","32203"
"2021 Q1","27007"
"2021 Q2","21007"
"2021 Q3","20276"
"2021 Q4","18501"
"2022 Q1","19614"
"2022 Q2","15586"
"2022 Q3","13049"
"2022 Q4","14532"
"2023 Q1","15531"
"2023 Q2","14120"
"2023 Q3","15687"
"2023 Q4","15195"
"2024 Q1","13723"
"2024 Q2","12668"
"2024 Q3","12984"
"2024 Q4","11992"
"2025 Q1","10551"
"2025 Q2","13242"
